Unix time,BSSID,Signal strength(-dBm),SSID,Longitude,Latitude,GPS Accuracy,AP Capabilities, Channel, Frequency
1515969297000,b4:e9:b0:ef:19:9e,-89,eduroam,-121.88527248,37.33840275,31,[WPA2-EAP-CCMP][ESS][BLE],,-5540
1515969297000,b4:e9:b0:ef:19:9f,-88,SJSU_premier,-121.88527248,37.33840275,31,[WPA2-EAP-CCMP][ESS][BLE],,-5540
1515969388000,b4:e9:b0:ef:1c:70,-83,SJSU_premier,-121.88163664,37.33685083,6,[WPA2-EAP-CCMP][ESS][BLE],,112462
1515969388000,b4:e9:b0:ef:1c:71,-84,eduroam,-121.88163664,37.33685083,6,[WPA2-EAP-CCMP][ESS][BLE],,112462
1515969385000,b4:e9:b0:ef:1c:72,-86,SJSU_Guest,-121.88163699,37.33686897,8,[ESS][BLE],,112462
1515969388000,b4:e9:b0:ef:1c:73,-83,SJSU_MyDevice,-121.88163664,37.33685083,6,[ESS][P2P][BLE],,112462
1515969311000,b4:e9:b0:ef:1c:7c,-85,SJSU_MyDevice,-121.88536904,37.33823123,15,[ESS][P2P][BLE],,-5580
1515969394000,b4:e9:b0:ef:1c:7d,-77,SJSU_Guest,-121.88164784,37.33680986,5,[ESS][BLE],,-5580
1515969311000,b4:e9:b0:ef:1c:7e,-83,eduroam,-121.88536904,37.33823123,15,[WPA2-EAP-CCMP][ESS][BLE],,-5580
1515969311000,b4:e9:b0:ef:1c:7f,-85,SJSU_premier,-121.88536904,37.33823123,15,[WPA2-EAP-CCMP][ESS][BLE],,-5580
1515969338000,b4:e9:b0:ef:21:c0,-87,SJSU_premier,-121.88462994,37.33815514,100,[WPA2-EAP-CCMP][ESS][BLE],,12412
1515969341000,b4:e9:b0:ef:21:c2,-87,SJSU_Guest,-121.88285323,37.33669748,55,[ESS][BLE],,12412
1515969341000,b4:e9:b0:ef:21:c3,-86,SJSU_MyDevice,-121.88285323,37.33669748,55,[ESS][P2P][BLE],,12412
1515969338000,b4:e9:b0:ef:21:c4,-83,SJSU_MyDevice,-121.88462994,37.33815514,100,[ESS][P2P][BLE],,-5500
1515969338000,b4:e9:b0:ef:21:c5,-83,SJSU_Guest,-121.88462994,37.33815514,100,[ESS][BLE],,-5500
1515969338000,b4:e9:b0:ef:21:c6,-84,eduroam,-121.88462994,37.33815514,100,[WPA2-EAP-CCMP][ESS][BLE],,-5500
1515969338000,b4:e9:b0:ef:21:c7,-83,SJSU_premier,-121.88462994,37.33815514,100,[WPA2-EAP-CCMP][ESS][BLE],,-5500
1515969341000,b4:e9:b0:ef:21:cc,-81,SJSU_MyDevice,-121.88285323,37.33669748,55,[ESS][P2P][BLE],,-5500
1515969341000,b4:e9:b0:ef:21:cd,-82,SJSU_Guest,-121.88285323,37.33669748,55,[ESS][BLE],,-5500
1515969338000,b4:e9:b0:ef:21:ce,-81,eduroam,-121.88462994,37.33815514,100,[WPA2-EAP-CCMP][ESS][BLE],,-5500
1515969326000,b4:e9:b0:ef:50:c1,-79,eduroam,-121.88536397,37.33818202,108,[WPA2-EAP-CCMP][ESS][BLE],,62437
1515969326000,b4:e9:b0:ef:50:c3,-77,SJSU_MyDevice,-121.88536397,37.33818202,108,[ESS][P2P][BLE],,62437
1515969326000,b4:e9:b0:ef:50:cc,-79,SJSU_MyDevice,-121.88536397,37.33818202,108,[ESS][P2P][BLE],,-5280
1515969320000,b4:e9:b0:ef:50:cd,-81,SJSU_Guest,-121.88536848,37.3382003,53,[ESS][BLE],,-5280
1515969326000,b4:e9:b0:ef:50:ce,-79,eduroam,-121.88536397,37.33818202,108,[WPA2-EAP-CCMP][ESS][BLE],,-5280
1515969326000,b4:e9:b0:ef:50:cf,-77,SJSU_premier,-121.88536397,37.33818202,108,[WPA2-EAP-CCMP][ESS][BLE],,-5280
1515969317000,b4:e9:b0:ef:61:10,-60,SJSU_premier,-121.88536877,37.33821742,27,[WPA2-EAP-CCMP][ESS][BLE],,62437
1515969317000,b4:e9:b0:ef:61:11,-60,eduroam,-121.88536877,37.33821742,27,[WPA2-EAP-CCMP][ESS][BLE],,62437
1515969317000,b4:e9:b0:ef:61:12,-60,SJSU_Guest,-121.88536877,37.33821742,27,[ESS][BLE],,62437
